order_id,customer_name,email,phone,city,order_date,product,status,amount
1,John Smith,john.smith@gmail.com,  70958682846,Berlin,01-27-2025,Dress,cancelled,144.84
2,Anna Ivanova,anna.ivanova@gmail.com,  79589205528,Berlin,01-07-2025,Boots,оплачен,113.09
3,Maxim Orlov,maxim.orlov@mail.com ,  73460967357,Saint Petersburg,19/04/2025,T-shirt,Paid,152.38
4,John Smith,john.smith@example.com,  77934927891,Berlin,2025-03-09,Dress,cancelled,196.15
5,John Smith,john.smith@mail.com ,+372 555 6925,SPB,01-12-2025,Dress,оплачен,108.29
6,John Smith,john.smith@example.com,555-575435,moscow,2025-04-01,Coat,cancelled ,108.29
7,Alex Brown,alex.brown @gmail.com,555-497887,Tallinn,2025-01-15,Boots,pending,198.96
8,John Smith,john.smith @gmail.com,555-322955,Москва,14/06/2025,Bag,cancelled ,158.37
9,Olga Sokolova,olga.sokolova@example.com,  74284391408,moscow,2025-05-07,Coat,PAID,96.53
10,Ivan Kuznetsov,ivan.kuznetsov@gmail.com,  74047709743,SPB,01-30-2025,T-shirt,Paid,147.13
11,Olga Sokolova,olga.sokolova@example.com,  77385972235,SPB,02-15-2025,Bag,PAID,96.83
12,Kate Miller,kate.miller @gmail.com,  73944899549,Tallinn,24/03/2025,Jeans,оплачен,"96,71"
13,Anna Ivanova,anna.ivanova @gmail.com,+372 555 2290,Riga,2025-05-17,Coat,pending,132.1
14,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,555-891952,Riga,04-13-2025,Jacket,Paid,24.34
15,Alex Brown,alex.brown @gmail.com,  78680276057,moscow,02-28-2025,Sneakers,оплачен,33.75
16,John Smith,john.smith@gmail.com,555-174299,,21/06/2025,Jacket,оплачен,91.89
17,Maxim Orlov,maxim.orlov@example.com,555-198907,Moscow,01/04/2025,Dress,paid,69.36
18,Ivan Kuznetsov,ivan.kuznetsov@mail.com ,  70822873088,SPB,2025-04-25,Jacket,оплачен,135.71
19,John Smith,john.smith@example.com,555-153045,tallin,05/05/2025,Sneakers,PAID,74.6
20,Ivan Kuznetsov,ivan.kuznetsov@gmail.com,555-378085,Berlin,04-19-2025,Jacket,PAID,49.38
21,Alex Brown,alex.brown@mail.com ,  72328710672,Riga,2025-03-22,Coat,paid,"193,28"
22,John Smith,john.smith @gmail.com,+372 555 2122,berlin,2025-04-14,Bag,paid,108.71
23,John Smith,john.smith@example.com,+372 555 9565,SPB,06-21-2025,Boots,PAID,123.38
24,Olga Sokolova,olga.sokolova@example.com,+372 555 6180,moscow,04-28-2025,Dress,cancelled ,48.76
25,Alex Brown,alex.brown@mail.com ,+372 555 3170,Berlin,05/04/2025,Jeans,cancelled ,92.78
26,Anna Ivanova,anna.ivanova@mail.com ,+372 555 2697,berlin,2025-05-22,Bag,Pending,125.55
27,Alex Brown,alex.brown@mail.com ,  70218179599,Tallinn,19/04/2025,Coat,pending,"62,45"
28,Maria Petrova,maria.petrova@example.com,+372 555 8007,Tallinn,2025-06-26,Coat,cancelled,138.78
29,Maria Petrova,maria.petrova@gmail.com,555-482364,moscow,02-23-2025,T-shirt,cancelled ,89.97
30,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,555-270395,Tallinn,2025-01-07,Boots,оплачен,105.42
31,Olga Sokolova,olga.sokolova @gmail.com,555-501124,Riga,2025-02-26,T-shirt,pending,89.91
32,Alex Brown,alex.brown @gmail.com,555-792094,SPB,2025-03-13,T-shirt,cancelled ,212.61
33,Ivan Kuznetsov,ivan.kuznetsov@mail.com ,  71121910732,tallin,2025-03-09,T-shirt,Pending,119.33
34,Ivan Kuznetsov,ivan.kuznetsov@gmail.com,+372 555 7311,Berlin,2025-04-22,Bag,Pending,67.11
35,Ivan Kuznetsov,,+372 555 6409,tallin,03-18-2025,T-shirt,cancelled,161.13
36,Olga Sokolova,,  79337376324,Moscow,19/03/2025,Jeans,pending,58.96
37,Alex Brown,alex.brown@example.com,  76192423780,Москва,02-24-2025,Dress,pending,130.44
38,Kate Miller,kate.miller@gmail.com,+372 555 4848,Riga,2025-02-07,Dress,Canceled,"22,02"
39,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,+372 555 7291,moscow,06-17-2025,Boots,оплачен,"53,59"
40,Maria Petrova,maria.petrova@example.com,555-684482,Berlin,04/02/2025,T-shirt,Canceled,129.84
41,Ivan Kuznetsov,ivan.kuznetsov@example.com,555-879779,SPB,2025-03-08,Jacket,оплачен,156.92
42,Olga Sokolova,,555-848206,moscow,27/03/2025,Coat,PAID,128.57
43,Alex Brown,alex.brown@example.com,555-840734,tallin,15/04/2025,Sneakers,оплачен,114.22
44,Ivan Kuznetsov,ivan.kuznetsov@example.com,555-998348,tallin,02/01/2025,Boots,cancelled ,104.94
45,Alex Brown,alex.brown@example.com,+372 555 4595,tallin,10/04/2025,Coat,Canceled,46.07
46,Maria Petrova,maria.petrova@gmail.com,  70116402431,Москва,2025-04-20,Sneakers,pending,84.01
47,Ivan Kuznetsov,ivan.kuznetsov@mail.com ,555-576786,moscow,13/03/2025,Jacket,paid,96.97
48,Anna Ivanova,anna.ivanova@mail.com ,+372 555 4673,Riga,2025-06-09,Dress,оплачен,172.86
49,Maxim Orlov,maxim.orlov@mail.com ,+372 555 7043,SPB,2025-03-21,Boots,cancelled,137.18
50,Alex Brown,alex.brown@gmail.com,  73459716271,Tallinn,11/01/2025,Dress,cancelled ,31.85
51,Kate Miller,kate.miller@gmail.com,555-962276,Riga,04-03-2025,Coat,cancelled,136.2
52,Maria Petrova,maria.petrova@mail.com ,555-912270,Saint Petersburg,01/06/2025,Dress,pending,100.75
53,Maxim Orlov,maxim.orlov @gmail.com,+372 555 8613,Saint Petersburg,07/05/2025,T-shirt,pending,86.15
54,Kate Miller,kate.miller@mail.com ,+372 555 5526,Riga,2025-01-22,Bag,Canceled,150.58
55,Maxim Orlov,maxim.orlov@example.com,555-197573,berlin,2025-06-27,T-shirt,Canceled,171.55
56,Kate Miller,kate.miller@example.com,555-468900,Saint Petersburg,20/03/2025,T-shirt,Paid,166.56
57,Maria Petrova,maria.petrova @gmail.com,  76374584386,moscow,05-31-2025,Bag,pending,78.04
58,Alex Brown,alex.brown@mail.com ,  78650701349,Moscow,02/02/2025,Jeans,PAID,"104,54"
59,Maxim Orlov,maxim.orlov@gmail.com,555-701949,Moscow,23/04/2025,Jeans,Canceled,136.56
60,John Smith,john.smith@gmail.com,  78908115095,berlin,2025-06-25,Jeans,Paid,168.78
61,Alex Brown,alex.brown@gmail.com,  72656086594,SPB,08/04/2025,Boots,pending,96.04
62,Anna Ivanova,anna.ivanova@gmail.com,  75201313620,Berlin,2025-01-21,Dress,PAID,110.72
63,Anna Ivanova,anna.ivanova@example.com,555-822858,SPB,2025-01-09,Jacket,Paid,64.68
64,Alex Brown,alex.brown@mail.com ,+372 555 4241,Москва,2025-06-15,Dress,paid,60.19
65,Maria Petrova,maria.petrova@mail.com ,  74829062179,SPB,03-19-2025,Jacket,Canceled,160.63
66,John Smith,john.smith@gmail.com,555-870214,,2025-01-07,Sneakers,pending,187.81
67,Anna Ivanova,anna.ivanova @gmail.com,555-644173,Riga,02-16-2025,Dress,Canceled,116.4
68,Kate Miller,kate.miller@example.com,+372 555 6460,SPB,26/03/2025,Boots,cancelled ,170.18
69,Anna Ivanova,anna.ivanova@example.com,+372 555 2442,,04-14-2025,Jacket,cancelled,138.08
70,Anna Ivanova,anna.ivanova @gmail.com,555-479353,Riga,2025-05-21,Jacket,Paid,87.74
71,Anna Ivanova,anna.ivanova @gmail.com,  72365835550,moscow,2025-04-15,Jacket,Paid,138.07
72,Maria Petrova,maria.petrova@example.com,555-633590,Berlin,04/05/2025,Coat,cancelled,196.9
73,Alex Brown,alex.brown @gmail.com,555-389666,SPB,10/05/2025,Jeans,Canceled,118.21
74,Maria Petrova,maria.petrova@example.com,  75777263354,Tallinn,20/05/2025,Bag,оплачен,198.23
75,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,555-145767,Москва,30/06/2025,Jacket,paid,15
76,Maria Petrova,maria.petrova@mail.com ,  71891100776,tallin,2025-04-27,Coat,Paid,161.1
77,Maxim Orlov,maxim.orlov@mail.com ,  77270110908,Berlin,21/01/2025,Boots,Pending,124.35
78,Maxim Orlov,maxim.orlov@gmail.com,+372 555 2121,moscow,24/01/2025,Jacket,PAID,105.05
79,Olga Sokolova,olga.sokolova@gmail.com,555-440131,Saint Petersburg,02/04/2025,Boots,PAID,124.59
80,Maria Petrova,maria.petrova @gmail.com,  78035194895,berlin,2025-06-24,Coat,оплачен,20.62
81,Maxim Orlov,maxim.orlov@mail.com ,555-367729,moscow,03-15-2025,Jacket,Pending,109.02
82,Olga Sokolova,olga.sokolova@example.com,+372 555 5097,tallin,09/04/2025,T-shirt,pending,137.86
83,Olga Sokolova,olga.sokolova@gmail.com,  78624715092,SPB,01-13-2025,Bag,Pending,193.89
84,Alex Brown,alex.brown @gmail.com,+372 555 5106,Riga,06-10-2025,Sneakers,Pending,"94,09"
85,Maria Petrova,maria.petrova@gmail.com,+372 555 5835,Tallinn,2025-02-21,Jeans,PAID,79.58
86,Olga Sokolova,olga.sokolova@example.com,+372 555 5835,Saint Petersburg,2025-04-30,Boots,cancelled ,94.91
87,Kate Miller,kate.miller@gmail.com,+372 555 7464,SPB,27/04/2025,Boots,Pending,165.77
88,John Smith,john.smith @gmail.com,  72620283102,SPB,01-17-2025,Boots,Paid,136.44
89,Maria Petrova,maria.petrova@gmail.com,+372 555 1609,Москва,2025-01-25,Boots,Canceled,93.51
90,Kate Miller,kate.miller@example.com,555-535037,SPB,07/06/2025,Sneakers,Pending,145.66
91,Alex Brown,alex.brown@example.com,+372 555 8285,Tallinn,25/06/2025,Sneakers,cancelled,124.85
92,Olga Sokolova,olga.sokolova @gmail.com,+372 555 3001,berlin,2025-06-19,Sneakers,paid,168.43
93,Kate Miller,kate.miller @gmail.com,+372 555 3063,Saint Petersburg,2025-05-22,T-shirt,PAID,84.9
94,Anna Ivanova,anna.ivanova@mail.com ,+372 555 3370,Москва,01-29-2025,Sneakers,Pending,103.62
95,Alex Brown,,+372 555 1258,moscow,04-18-2025,Jacket,Canceled,100.39
96,Kate Miller,kate.miller@gmail.com,  72641863774,Moscow,06-18-2025,Sneakers,Canceled,46.82
97,Ivan Kuznetsov,ivan.kuznetsov@example.com,+372 555 2768,Москва,03-24-2025,Jeans,cancelled ,134.81
98,Kate Miller,kate.miller@example.com,+372 555 9692,Berlin,2025-06-29,Bag,cancelled,133.05
99,Maxim Orlov,maxim.orlov @gmail.com,555-455395,tallin,04-17-2025,T-shirt,pending,120.26
100,Kate Miller,kate.miller @gmail.com,555-170394,Москва,01-25-2025,Sneakers,cancelled ,108.27
101,Kate Miller,kate.miller@gmail.com,555-470774,Saint Petersburg,2025-04-01,Coat,Canceled,49.23
102,Alex Brown,alex.brown@gmail.com,+372 555 6736,tallin,03-13-2025,Sneakers,pending,98.97
103,Anna Ivanova,anna.ivanova @gmail.com,555-836833,Москва,2025-03-31,Boots,Paid,102.86
104,Maria Petrova,maria.petrova@gmail.com,555-882354,Tallinn,18/04/2025,Jeans,Pending,79.89
105,John Smith,,+372 555 3549,Riga,11/03/2025,Jacket,cancelled,111.94
106,Olga Sokolova,olga.sokolova @gmail.com,+372 555 9394,Riga,03-14-2025,Jeans,paid,140.2
107,Alex Brown,alex.brown@example.com,+372 555 1897,moscow,05/02/2025,Sneakers,Canceled,214.31
108,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,  79578252582,Moscow,21/06/2025,Boots,paid,"128,73"
109,Maxim Orlov,maxim.orlov@gmail.com,555-703727,Tallinn,30/01/2025,Coat,Canceled,"132,88"
110,Kate Miller,kate.miller@gmail.com,555-985506,tallin,31/05/2025,Jeans,Pending,116.28
111,Alex Brown,alex.brown@mail.com ,  79079675280,Москва,19/02/2025,Bag,Paid,24.06
112,Maria Petrova,maria.petrova@mail.com ,  72587283948,Riga,2025-01-20,Jacket,Canceled,118.67
113,Kate Miller,kate.miller@mail.com ,555-561124,berlin,11/06/2025,Sneakers,Pending,123.01
114,John Smith,john.smith@mail.com ,555-573866,moscow,2025-03-15,Boots,Canceled,243.16
115,Anna Ivanova,anna.ivanova@example.com,  76893447569,Tallinn,2025-02-08,Dress,cancelled ,110.38
116,Maria Petrova,maria.petrova@gmail.com,555-841995,Tallinn,14/03/2025,Sneakers,Pending,135.08
117,John Smith,john.smith@mail.com ,555-685066,berlin,03-06-2025,Coat,Pending,118.26
118,John Smith,john.smith @gmail.com,  71683446724,Tallinn,22/01/2025,Coat,cancelled ,61.57
119,John Smith,john.smith@example.com,555-479404,Riga,2025-02-16,Bag,оплачен,177.14
120,Maria Petrova,maria.petrova @gmail.com,  79024330858,berlin,2025-05-15,Coat,cancelled,157.6
121,Maria Petrova,maria.petrova @gmail.com,  73876877928,Saint Petersburg,2025-04-23,Jacket,pending,159.55
122,Maxim Orlov,maxim.orlov @gmail.com,555-350786,Riga,06-23-2025,Jeans,cancelled,74.53
123,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,555-940181,Tallinn,01-14-2025,Dress,cancelled ,190.14
124,John Smith,john.smith@mail.com ,555-900185,moscow,2025-05-12,Bag,Canceled,49.91
125,Kate Miller,kate.miller@gmail.com,555-155843,Tallinn,21/01/2025,Dress,Pending,149.34
126,Maria Petrova,maria.petrova @gmail.com,  73569592370,moscow,01/05/2025,Sneakers,pending,229.52
127,Alex Brown,alex.brown @gmail.com,555-862560,Saint Petersburg,02/03/2025,Boots,Canceled,70.47
128,John Smith,john.smith@gmail.com,  72302333490,Москва,05-12-2025,Jeans,cancelled,91.69
129,Anna Ivanova,anna.ivanova@mail.com ,  71789144223,Tallinn,2025-06-21,Dress,cancelled ,124.98
130,Anna Ivanova,anna.ivanova@example.com,555-145649,moscow,03-06-2025,T-shirt,оплачен,"94,83"
131,John Smith,john.smith@mail.com ,  72760786161,Москва,04-29-2025,Coat,Paid,42.47
132,Maxim Orlov,maxim.orlov@gmail.com,555-311383,Berlin,12/05/2025,Jacket,pending,123.43
133,Anna Ivanova,anna.ivanova @gmail.com,555-474314,tallin,01/02/2025,Jacket,cancelled,66.88
134,Kate Miller,kate.miller @gmail.com,  76431813987,moscow,2025-03-10,Boots,PAID,143.68
135,Olga Sokolova,olga.sokolova@mail.com ,555-183958,tallin,20/03/2025,Coat,Canceled,74.03
136,Kate Miller,kate.miller@example.com,555-862120,tallin,2025-06-13,T-shirt,cancelled ,"197,5"
137,Maria Petrova,maria.petrova@gmail.com,+372 555 3339,Tallinn,2025-02-02,T-shirt,cancelled,80.84
138,Anna Ivanova,anna.ivanova @gmail.com,+372 555 8371,tallin,2025-05-27,T-shirt,pending,103.9
139,Alex Brown,alex.brown@gmail.com,  75094037570,SPB,04-10-2025,Jacket,оплачен,160.68
140,Olga Sokolova,olga.sokolova@example.com,+372 555 4279,Tallinn,2025-04-24,T-shirt,Paid,58.46
141,Olga Sokolova,olga.sokolova@mail.com ,+372 555 3580,Moscow,2025-02-05,T-shirt,cancelled ,131.37
142,Kate Miller,kate.miller@example.com,+372 555 3126,Riga,21/03/2025,Boots,cancelled,185.36
143,John Smith,john.smith @gmail.com,555-773540,Berlin,06-24-2025,Coat,PAID,39.63
144,Ivan Kuznetsov,ivan.kuznetsov@gmail.com,+372 555 3034,,11/02/2025,T-shirt,cancelled ,129.23
