order_id,customer_name,email,phone,city,order_date,product,status,amount,month
1,John Smith,john.smith@gmail.com,70958682846,Berlin,2025-01-27,Dress,cancelled,144.84,2025-01
2,Anna Ivanova,anna.ivanova@gmail.com,79589205528,Berlin,2025-01-07,Boots,paid,113.09,2025-01
3,Maxim Orlov,maxim.orlov@mail.com,73460967357,Saint Petersburg,,T-shirt,paid,152.38,NaT
4,John Smith,john.smith@example.com,77934927891,Berlin,,Dress,cancelled,196.15,NaT
5,John Smith,john.smith@mail.com,3725556925,Saint Petersburg,2025-01-12,Dress,paid,108.29,2025-01
6,John Smith,john.smith@example.com,555575435,Moscow,,Coat,cancelled,108.29,NaT
7,Alex Brown,alex.brown @gmail.com,555497887,Tallinn,,Boots,pending,198.96,NaT
8,John Smith,john.smith @gmail.com,555322955,Moscow,,Bag,cancelled,158.37,NaT
9,Olga Sokolova,olga.sokolova@example.com,74284391408,Moscow,,Coat,paid,96.53,NaT
10,Ivan Kuznetsov,ivan.kuznetsov@gmail.com,74047709743,Saint Petersburg,2025-01-30,T-shirt,paid,147.13,2025-01
11,Olga Sokolova,olga.sokolova@example.com,77385972235,Saint Petersburg,2025-02-15,Bag,paid,96.83,2025-02
12,Kate Miller,kate.miller @gmail.com,73944899549,Tallinn,,Jeans,paid,96.71,NaT
13,Anna Ivanova,anna.ivanova @gmail.com,3725552290,Riga,,Coat,pending,132.1,NaT
14,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,555891952,Riga,2025-04-13,Jacket,paid,24.34,2025-04
15,Alex Brown,alex.brown @gmail.com,78680276057,Moscow,2025-02-28,Sneakers,paid,33.75,2025-02
16,John Smith,john.smith@gmail.com,555174299,Unknown,,Jacket,paid,91.89,NaT
17,Maxim Orlov,maxim.orlov@example.com,555198907,Moscow,,Dress,paid,69.36,NaT
18,Ivan Kuznetsov,ivan.kuznetsov@mail.com,70822873088,Saint Petersburg,,Jacket,paid,135.71,NaT
19,John Smith,john.smith@example.com,555153045,Tallinn,,Sneakers,paid,74.6,NaT
20,Ivan Kuznetsov,ivan.kuznetsov@gmail.com,555378085,Berlin,2025-04-19,Jacket,paid,49.38,2025-04
21,Alex Brown,alex.brown@mail.com,72328710672,Riga,,Coat,paid,193.28,NaT
22,John Smith,john.smith @gmail.com,3725552122,Berlin,,Bag,paid,108.71,NaT
23,John Smith,john.smith@example.com,3725559565,Saint Petersburg,2025-06-21,Boots,paid,123.38,2025-06
24,Olga Sokolova,olga.sokolova@example.com,3725556180,Moscow,2025-04-28,Dress,cancelled,48.76,2025-04
25,Alex Brown,alex.brown@mail.com,3725553170,Berlin,,Jeans,cancelled,92.78,NaT
26,Anna Ivanova,anna.ivanova@mail.com,3725552697,Berlin,,Bag,pending,125.55,NaT
27,Alex Brown,alex.brown@mail.com,70218179599,Tallinn,,Coat,pending,62.45,NaT
28,Maria Petrova,maria.petrova@example.com,3725558007,Tallinn,,Coat,cancelled,138.78,NaT
29,Maria Petrova,maria.petrova@gmail.com,555482364,Moscow,2025-02-23,T-shirt,cancelled,89.97,2025-02
30,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,555270395,Tallinn,,Boots,paid,105.42,NaT
